OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B15002_001E,B15002_001M,B15002_002E,B15002_002M,B15002_003E,B15002_003M,B15002_004E,B15002_004M,B15002_005E,B15002_005M,B15002_006E,B15002_006M,B15002_007E,B15002_007M,B15002_008E,B15002_008M,B15002_009E,B15002_009M,B15002_010E,B15002_010M,B15002_011E,B15002_011M,B15002_012E,B15002_012M,B15002_013E,B15002_013M,B15002_014E,B15002_014M,B15002_015E,B15002_015M,B15002_016E,B15002_016M,B15002_017E,B15002_017M,B15002_018E,B15002_018M,B15002_019E,B15002_019M,B15002_020E,B15002_020M,B15002_021E,B15002_021M,B15002_022E,B15002_022M,B15002_023E,B15002_023M,B15002_024E,B15002_024M,B15002_025E,B15002_025M,B15002_026E,B15002_026M,B15002_027E,B15002_027M,B15002_028E,B15002_028M,B15002_029E,B15002_029M,B15002_030E,B15002_030M,B15002_031E,B15002_031M,B15002_032E,B15002_032M,B15002_033E,B15002_033M,B15002_034E,B15002_034M,B15002_035E,B15002_035M,B15002_calc_numLTHSE,B15002_calc_numLTHSM,B15002_calc_pctLTHSE,B15002_calc_pctLTHSM,B15002_calc_numHSE,B15002_calc_numHSM,B15002_calc_pctHSE,B15002_calc_pctHSM,B15002_calc_numSomeCollE,B15002_calc_numSomeCollM,B15002_calc_pctSomeCollE,B15002_calc_pctSomeCollM,B15002_calc_numAAE,B15002_calc_numAAM,B15002_calc_pctAAE,B15002_calc_pctAAM,B15002_calc_numGEBAE,B15002_calc_numGEBAM,B15002_calc_pctGEBAE,B15002_calc_pctGEBAM,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
11,04013218200,2524583,61163,Census Tract 2182,Arizona,Maricopa County,6022,671,3390,607,0,17,0,17,94,89,34,53,80,102,9,51,47,57,0,17,365,147,81,65,720,310,248,175,1173,451,417,203,81,68,41,49,2632,469,23,36,22,39,96,104,39,75,25,39,30,35,0,17,45,73,699,282,158,124,633,233,175,133,391,287,198,101,61,57,37,43,521,232,8.7,3.72998209338019,1064,318,17.7,4.89992847041784,1592,412,26.4,6.17497024070827,423,220,7,3.56844665547866,2399,591,39.8,8.75279579765527,3724813.77811363,7717.49847300329,22941.5234375,1944.93610293195
12,04013318400,8005719,165589,Census Tract 3184,Arizona,Maricopa County,3543,571,1954,379,0,17,0,17,94,99,139,151,198,165,27,46,0,17,0,17,386,212,157,80,445,172,66,75,241,122,67,69,57,94,77,76,1589,301,16,24,0,17,22,34,3,10,127,145,29,52,14,23,132,102,216,181,104,82,373,203,44,37,317,124,138,84,37,60,17,28,785,315,22.2,8.14219315280891,602,279,17,7.38322538588293,1079,290,30.5,6.55035058423254,110,84,3.1,2.31747062184637,951,247,26.8,5.46703674426118,11764268.5581964,17511.1858169508,10610169.3242188,21606.0218704317
13,04013318501,1305692,0,Census Tract 3185.01,Arizona,Maricopa County,2810,303,1277,219,19,25,0,12,0,12,40,63,0,12,6,10,0,12,11,17,279,104,59,39,401,167,111,71,233,113,86,45,10,14,22,26,1533,284,17,23,0,12,85,63,44,45,0,12,84,52,50,65,41,37,478,188,59,37,228,80,148,81,113,55,140,65,33,37,13,20,361,140,12.8,4.78574793439723,757,215,26.9,7.07836995028853,747,193,26.6,6.24156633775542,259,108,9.2,3.71269053901374,650,157,23.1,4.99952969111734,1880736.29326386,6853.49771148677,1879860.76171875,6848.18564642306
14,04013318700,2411591,0,Census Tract 3187,Arizona,Maricopa County,758,166,471,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,16,27,30,31,27,17,19,181,58,141,58,31,22,28,20,287,110,0,12,0,12,0,12,11,16,0,12,0,12,0,12,0,12,21,18,7,11,0,12,18,29,149,92,80,36,0,12,1,3,11,46,1.5,6.0602742838476,36,24,4.7,2.99051824863502,65,44,8.6,5.49257997736532,35,35,4.6,4.50532859945446,611,132,80.6,2.89161187046852,3471578.74479116,7636.99916553836,3471578.74609375,7636.99916553836
15,04013318800,2569382,5203,Census Tract 3188,Arizona,Maricopa County,3761,530,2239,412,19,35,0,17,43,67,98,156,57,68,23,26,80,110,0,17,178,117,98,77,567,207,156,108,516,174,284,107,33,37,87,72,1522,288,0,17,0,17,60,72,0,17,62,76,46,70,0,17,0,17,126,90,31,41,437,192,42,54,295,128,231,106,34,54,158,94,469,253,12.5,6.49335022004502,304,148,8.1,3.76666472501392,1133,296,30.1,6.62714038591403,198,121,5.3,3.13052353703433,1638,296,43.6,4.92679854544192,3706248.64428284,7850.10071927538,3706216.03515625,7849.97399102005
16,04013318900,2589083,0,Census Tract 3189,Arizona,Maricopa County,4034,571,2459,450,0,17,14,23,0,17,16,26,0,17,85,106,0,17,32,35,476,213,107,99,641,251,116,99,627,402,266,113,32,37,47,42,1575,283,17,27,0,17,31,35,15,25,51,75,0,17,94,102,14,23,196,122,81,106,273,156,173,97,300,118,291,128,26,29,13,23,352,183,8.7,4.36506403672061,672,245,16.7,5.5969631992294,1102,329,27.3,7.18076040458004,289,139,7.2,3.29311657583726,1602,457,39.7,9.83575167836846,3725890.33373854,7723.50603521764,3725890.32421875,7723.50603521764
17,04013319000,2588740,0,Census Tract 3190,Arizona,Maricopa County,1361,281,823,189,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,78,53,30,27,74,45,29,30,337,111,232,129,0,17,43,27,538,137,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,29,27,49,61,60,34,62,45,125,57,173,73,21,19,19,17,0,64,0,4.70242468772961,107,59,7.9,4.01968143421634,213,87,15.7,5.51555201849756,91,54,6.7,3.71976813832203,950,198,69.8,1.98805320858423,3725402.20754708,7717.03159606099,3725402.2109375,7717.03159606099
18,04013319101,330646,0,Census Tract 3191.01,Arizona,Maricopa County,1001,244,665,229,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,21,149,101,35,42,113,83,0,12,176,104,147,91,0,12,32,30,336,133,35,30,0,12,0,12,0,12,0,12,0,12,0,12,13,22,37,41,0,12,101,75,12,20,53,60,63,51,0,12,22,36,26,52,2.6,5.15607830514788,186,109,18.6,9.9024160755883,249,120,24.9,10.3415085618092,12,23,1.2,2.27904499310998,493,167,49.3,11.58485068522,475845.996022556,3150.59423980743,475845.9765625,3150.59423980743
19,04013319103,957248,0,Census Tract 3191.03,Arizona,Maricopa County,2312,425,1472,337,0,17,0,17,0,17,32,37,41,67,0,17,59,65,0,17,64,60,43,42,130,104,5,13,437,258,600,325,30,36,31,34,840,265,37,51,0,17,23,30,31,48,0,17,31,46,55,58,17,28,134,106,14,24,220,157,75,75,98,93,105,57,0,17,0,17,289,146,12.5,5.88199265749274,198,122,8.6,5.03651428570182,407,194,17.6,7.74191728498051,80,76,3.5,3.2250711123893,1301,433,56.3,15.6125793135265,1377687.8814069,5835.13541121132,1377687.8984375,5835.13541121132
20,04013319104,1287866,0,Census Tract 3191.04,Arizona,Maricopa County,3322,459,1933,345,0,17,0,17,0,17,1,11,0,17,13,20,48,77,0,17,337,154,74,77,491,205,202,153,335,156,379,165,1,10,52,50,1389,353,19,30,0,17,0,17,16,26,1,11,0,17,18,31,24,36,117,81,80,79,218,140,90,87,614,258,179,89,0,17,13,23,121,107,3.6,3.18139101284509,454,174,13.7,4.88558999525027,863,272,26,7.35912827778005,292,176,8.8,5.15693150104548,1573,360,47.4,8.63905206429277,1853188.23026239,5763.56184027193,1853188.23828125,5763.56184027193
21,04013319201,1324915,0,Census Tract 3192.01,Arizona,Maricopa County,2953,468,1605,353,0,17,7,12,73,102,60,75,27,46,107,173,0,17,155,112,248,188,70,73,333,170,90,54,218,127,176,116,0,17,41,47,1348,327,0,17,7,12,14,24,47,56,2,8,102,81,39,61,124,136,296,186,73,95,230,139,52,55,281,165,81,61,0,17,0,17,764,306,25.9,9.51661478277788,544,264,18.4,8.44990186127826,706,250,23.9,7.57074207517354,142,77,4.8,2.49366497631101,797,252,27,7.38430833880539,1906821.05337632,5849.93033529502,1906821.0390625,5849.93033529502
22,04013319202,1325010,0,Census Tract 3192.02,Arizona,Maricopa County,2126,334,1193,240,4,10,0,12,0,12,0,12,0,12,68,107,0,12,9,14,206,108,57,56,303,133,95,65,367,135,64,59,0,12,20,22,933,186,0,12,0,12,27,35,24,27,37,57,5,8,43,45,54,51,112,79,59,41,93,59,142,57,238,92,82,80,0,12,17,14,267,150,12.6,6.77401829102324,318,134,15,5.84848548101429,512,161,24.1,6.56005325519756,237,86,11.1,3.64638446699678,788,194,37.1,7.02570564713801,1906638.06289827,5878.71520738264,1906638.0859375,5878.71520738264
23,04013319300,1093172,0,Census Tract 3193,Arizona,Maricopa County,1561,276,770,228,24,26,24,36,20,28,0,12,17,20,13,20,70,61,45,47,217,127,27,28,189,108,46,53,43,58,13,22,0,12,22,25,791,134,29,31,3,15,23,34,20,31,39,40,3,9,65,57,75,55,150,79,81,54,82,52,57,58,150,88,14,22,0,12,0,12,417,139,26.7,7.54864594915608,367,150,23.5,8.66356760063661,379,134,24.3,7.43376782951339,103,79,6.6,4.92455239562569,242,115,15.5,6.83815342130788,1573247.73530628,6280.80643449301,1527878.71484375,6241.03851223168
24,04013319401,2673507,0,Census Tract 3194.01,Arizona,Maricopa County,4464,512,2214,431,0,17,33,53,10,23,0,17,51,68,0,17,0,17,0,17,441,263,17,29,659,235,116,95,618,193,122,68,56,89,91,98,2250,241,0,17,0,17,18,30,2,5,17,27,25,39,0,17,75,114,285,103,252,150,467,196,199,102,474,151,323,137,65,78,48,47,231,161,5.2,3.55746016354415,726,282,16.3,6.03552595521628,1395,342,31.3,6.77116452922585,315,139,7.1,3.00677756207438,1797,331,40.3,5.80195780583305,3844816.7902044,8035.50344488157,3844816.7890625,8035.50344488157
25,04013319402,2630566,0,Census Tract 3194.02,Arizona,Maricopa County,2807,239,1506,181,0,12,28,44,0,12,0,12,7,17,0,12,20,27,23,20,318,101,93,119,340,117,167,77,358,97,120,55,15,17,17,18,1301,163,0,12,19,20,0,12,0,12,0,12,0,12,0,12,20,23,303,91,137,76,233,98,96,51,352,119,132,50,9,13,0,12,117,74,4.2,2.61226932419276,621,136,22.1,4.46386694834656,803,208,28.6,6.99828693667012,263,92,9.4,3.17895101710843,1003,173,35.7,5.3598959886784,3783094.02753605,7744.95845638138,3762468.609375,7674.90558079797
26,04013319403,2657428,9022,Census Tract 3194.03,Arizona,Maricopa County,3438,293,1844,223,0,12,0,12,4,5,81,67,0,12,10,16,21,35,23,34,435,197,78,54,438,171,62,43,313,118,253,82,53,43,73,39,1594,192,0,12,4,9,0,12,7,13,6,9,38,46,40,49,31,35,465,153,127,78,257,118,127,68,273,93,158,68,28,32,33,31,265,117,7.7,3.33913889663749,900,249,26.2,6.89040442839346,900,228,26.2,6.24523354633281,189,80,5.5,2.27928116901246,1184,198,34.4,4.95517369701737,3835965.73023501,7834.31127399196,3835965.72265625,7834.31127399196
27,04013319404,2047881,0,Census Tract 3194.04,Arizona,Maricopa County,2909,280,1274,155,9,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,308,96,53,32,211,84,217,104,328,93,110,53,38,26,0,12,1635,228,0,12,0,12,0,12,5,12,0,12,13,21,22,24,35,31,255,99,126,66,286,110,215,111,381,136,238,96,26,31,33,25,75,60,2.6,2.04758118902513,563,138,19.4,4.36283656737504,676,157,23.2,4.91172407554771,432,152,14.9,5.02584736732646,1154,204,39.7,5.88203949231276,2945616.13521172,8563.89750218248,2792554.47265625,8354.78230592286
28,04013319500,2576259,0,Census Tract 3195,Arizona,Maricopa County,3675,452,1930,352,48,61,0,17,4,10,3,9,0,17,0,17,0,17,15,28,91,65,71,62,580,258,151,95,513,177,230,104,99,85,125,98,1745,229,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,22,243,121,87,81,232,132,61,60,684,200,305,145,49,50,70,57,36,66,1,1.79187237186992,334,137,9.1,3.55635494284983,970,307,26.4,7.69715543586841,212,112,5.8,2.96387835394759,2075,355,56.5,6.71466296219146,3706209.91701545,7703.85095751704,3706209.921875,7703.85095751704
29,04013319600,2578481,0,Census Tract 3196,Arizona,Maricopa County,3984,477,2394,331,0,17,0,17,0,17,14,21,12,26,15,24,0,17,64,86,525,212,97,102,356,161,59,70,622,207,352,171,104,88,174,87,1590,231,0,17,0,17,0,17,0,17,0,17,26,41,0,17,23,36,331,188,65,58,136,70,86,54,466,142,263,103,63,70,131,71,154,120,3.9,2.97628014174172,856,283,21.5,6.62123758664572,654,211,16.4,4.91799346408254,145,88,3.6,2.16542524075302,2175,358,54.6,6.1662460083046,3709402.93364501,7707.38910467785,3709402.9453125,7707.38910467785
30,04013319703,2744891,0,Census Tract 3197.03,Arizona,Maricopa County,2892,352,1462,323,0,12,0,12,0,12,12,22,0,12,0,12,59,72,16,23,268,121,129,68,286,171,121,94,440,205,131,120,0,12,0,12,1430,261,0,12,0,12,0,12,0,12,0,12,16,33,0,12,0,12,416,166,127,73,230,124,190,111,265,112,162,80,0,12,24,40,103,93,3.6,3.18641557911325,684,205,23.7,6.47765252971967,772,234,26.7,7.4102799069485,311,145,10.8,4.83996741937035,1022,278,35.3,8.59671623686332,3947458.75094032,8300.33123694547,3919134.42578125,8283.60514193795
31,04013319704,7826593,44016,Census Tract 3197.04,Arizona,Maricopa County,1243,170,769,144,15,22,0,12,0,12,16,24,9,16,33,36,32,31,28,21,113,50,44,38,62,39,72,57,202,84,106,53,32,31,5,8,474,85,20,24,0,12,0,12,0,12,0,12,0,12,16,23,0,12,67,31,50,33,127,60,7,10,75,33,91,45,21,25,0,12,134,72,10.8,5.60165307908737,180,59,14.5,4.31364943680079,283,87,22.8,6.2684033555453,79,58,6.4,4.58445359588278,532,122,42.8,7.87842815594729,11326380.5567818,15720.7176896543,11318591.1523438,15719.4831767929
32,04013319705,3856654,0,Census Tract 3197.05,Arizona,Maricopa County,2277,289,1173,235,2,6,0,12,0,12,20,31,94,151,15,23,19,21,11,16,186,76,94,48,203,72,118,70,334,134,77,43,0,12,0,12,1104,160,20,22,0,12,33,35,32,45,46,60,9,14,16,18,63,59,234,86,64,37,206,100,117,73,185,80,79,40,0,12,0,12,358,190,15.7,8.10218968215065,420,115,18.4,4.47513397740354,567,137,24.9,5.11974859342994,235,101,10.3,4.23783414650348,675,168,29.6,6.34668773696651,5547730.28835616,9518.23475102969,5547730.27734375,9518.23475102969
33,04013319706,1331380,33096,Census Tract 3197.06,Arizona,Maricopa County,3281,373,1640,255,8,13,0,17,37,41,75,73,11,16,146,113,93,98,12,18,378,146,126,72,262,123,140,78,184,76,135,54,21,31,12,17,1641,234,8,12,48,56,26,36,22,33,39,52,27,43,26,32,17,19,324,137,96,76,379,131,90,53,373,111,166,71,0,17,0,17,579,204,17.6,5.88505771969555,702,200,21.4,5.58937033629249,863,208,26.3,5.58999706986282,230,94,7,2.75190884081587,891,167,27.2,4.04672556135686,1962125.79127683,6138.15810731246,1962125.80859375,6138.15810731246
34,04013319800,2517125,0,Census Tract 3198,Arizona,Maricopa County,4235,452,2363,382,17,29,0,17,0,17,21,35,0,17,28,42,0,17,54,49,544,229,138,116,604,243,324,223,313,96,240,105,38,41,42,46,1872,239,0,17,0,17,0,17,48,69,0,17,56,88,19,28,69,88,259,135,171,104,296,130,86,74,601,133,144,92,62,75,61,57,295,169,7,3.92068945228149,803,266,19,5.94604711319333,1209,317,28.5,6.83705062415981,410,235,9.7,5.45194522404422,1501,243,35.4,4.31439153305334,3619948.612148,7534.24412923844,3619948.6015625,7534.24412923844
35,04013319902,2539680,54193,Census Tract 3199.02,Arizona,Maricopa County,2059,221,977,200,0,12,0,12,0,12,28,29,9,15,0,12,27,41,10,20,135,86,54,35,253,155,94,54,273,104,65,43,0,12,29,31,1082,159,0,12,0,12,22,25,17,18,7,11,0,12,0,12,0,12,148,58,115,73,255,149,113,74,216,72,161,74,11,17,17,20,120,72,5.8,3.44043619667835,283,104,13.7,4.83075463521624,677,230,32.9,10.5983315715205,207,92,10.1,4.33593291360874,772,158,37.5,6.53368874580989,3729064.57938383,7723.11850304658,3554993.40625,9821.2494634315
36,04013319903,2489783,182472,Census Tract 3199.03,Arizona,Maricopa County,4503,456,2056,268,0,17,0,17,0,17,17,31,0,17,0,17,0,17,0,17,343,188,156,81,248,130,114,68,656,183,275,126,141,88,106,65,2447,275,27,42,0,17,0,17,77,89,0,17,0,17,0,17,14,20,263,136,241,129,379,157,164,104,722,189,474,166,66,56,20,33,108,112,2.4,2.47534400644418,606,232,13.5,4.96861274393708,1024,254,22.7,5.14920514402424,278,124,6.2,2.68181304045933,2460,359,54.6,5.74066044259052,3841771.46504159,8043.4764335775,3841771.4375,8043.4764335775
37,04013319904,2672849,11170,Census Tract 3199.04,Arizona,Maricopa County,4121,205,2098,152,0,17,23,25,12,20,9,15,0,17,8,12,20,30,32,31,352,115,106,52,615,150,164,72,443,107,217,78,47,35,50,36,2023,155,0,17,0,17,0,17,33,29,0,17,0,17,47,38,15,20,252,72,142,60,297,94,148,63,669,131,322,87,58,36,40,30,199,86,4.8,2.07300062014269,604,136,14.7,3.21862362596359,1160,194,28.1,4.49452372649747,312,96,7.6,2.29888565688556,1846,217,44.8,4.77098015722856,3858661.57568597,7776.0632856047,3718551.19921875,7629.22866153042
38,04013319905,2614826,0,Census Tract 3199.05,Arizona,Maricopa County,3915,323,2036,294,0,17,0,17,0,17,0,17,0,17,3,9,0,17,26,42,524,166,131,74,409,155,92,65,432,132,291,154,57,65,71,46,1879,225,0,17,0,17,0,17,0,17,0,17,0,17,0,17,74,73,457,194,52,51,315,125,136,91,469,160,335,139,27,31,14,25,103,102,2.6,2.59630645855888,981,255,25.1,6.17662461415715,907,218,23.2,5.23000041024928,228,112,5.8,2.82015432463269,1696,307,43.3,6.97976748144453,3757948.8319493,7748.49067424276,3757948.828125,7748.49067424276
39,04013319906,2563847,21346,Census Tract 3199.06,Arizona,Maricopa County,2445,209,1194,142,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,13,144,85,39,32,231,95,137,68,400,115,155,56,66,41,13,21,1251,130,0,12,0,12,0,12,14,23,0,12,16,25,0,12,0,12,96,64,76,38,240,105,95,54,421,96,198,72,55,45,40,33,39,54,1.6,2.20437610854141,240,106,9.8,4.25340587394709,586,150,24,5.78277839916588,232,87,9.5,3.46460424497843,1348,190,55.1,6.17878712923881,3715373.2625425,7915.54479224565,3678952.00390625,7810.65200413527
40,04013319907,2583419,0,Census Tract 3199.07,Arizona,Maricopa County,1504,140,766,87,0,12,6,8,0,12,0,12,0,12,10,16,0,12,8,12,68,42,29,25,82,46,35,20,257,62,150,43,78,41,43,21,738,85,0,12,0,12,0,12,12,13,0,12,0,12,0,12,13,19,22,24,47,22,82,40,79,39,263,62,157,50,38,21,25,17,49,48,3.3,3.17704769871719,90,48,6,3.14250333817851,240,69,16,4.34064297512485,114,44,7.6,2.83917498422125,1011,122,67.2,5.16202786905635,3711581.96452891,7713.75334699638,3711581.97265625,7713.75334699638
41,04013319908,2561269,27782,Census Tract 3199.08,Arizona,Maricopa County,1818,193,914,144,21,33,0,12,6,14,30,49,0,12,0,12,6,9,0,12,137,80,51,37,225,88,87,47,222,70,115,60,10,10,4,6,904,101,15,24,4,6,0,12,0,12,27,34,0,12,0,12,27,31,91,39,85,42,205,88,97,59,203,56,129,54,4,6,17,15,100,77,5.5,4.19497611170305,228,89,12.5,4.710968677121,566,136,31.1,6.71102349973007,184,75,10.1,3.98303648546668,704,122,38.7,5.30407343878226,3720904.28678039,7711.28262110228,3585507.93359375,11618.1966911924
42,04013319909,2556801,71068,Census Tract 3199.09,Arizona,Maricopa County,1878,95,928,80,6,9,0,12,0,12,0,12,5,8,0,12,0,12,5,8,142,61,31,25,138,48,53,33,294,69,193,46,37,24,24,17,950,61,7,11,0,12,0,12,0,12,0,12,0,12,2,4,13,14,90,37,60,24,130,38,121,46,321,69,165,53,5,8,36,23,25,42,1.3,2.23540767458596,232,71,12.4,3.72861264211429,359,70,19.1,3.59974901399038,174,57,9.3,2.99873830878947,1075,126,57.2,6.05224338875052,3775448.02367114,7761.55749242191,3773533.9921875,7759.62735731514
